ID	Sex	DR	Phone	Context
GAW0	M	7	iy	sh_iy_hv
GAW0	M	7	iy	r_iy_s
GAW0	M	7	iy	s_iy_w
GAW0	M	7	iy	m_iy_tcl
GAW0	M	7	iy	r_iy_ix
GAW0	M	7	iy	dh_iy_kcl
GAW0	M	7	iy	uw_iy_ng
GAW0	M	7	iy	dh_iy_z
GAW0	M	7	iy	l_iy_bcl
GAW0	M	7	iy	r_iy_pcl
GAW0	M	7	iy	nx_iy_hv
GAW0	M	7	iy	p_iy_ax
GAW0	M	7	iy	dx_iy_kcl
GAW0	M	7	iy	r_iy_n
GAW0	M	7	iy	dh_iy_ay
GAW0	M	7	aa	d_aa_r
GAW0	M	7	aa	m_aa_dx
GAW0	M	7	aa	r_aa_s
GAW0	M	7	aa	h#_aa_r
GAW0	M	7	aa	p_aa_kcl
GAW0	M	7	aa	r_aa_n
GAW0	M	7	aa	k_aa_m
GAW0	M	7	aa	ch_aa_pcl
GAW0	M	7	aa	z_aa_r
GAW0	M	7	aa	l_aa_r
GAW0	M	7	aa	y_aa_er
GAW0	M	7	uh	w_uh_dcl
GAW0	M	7	uh	w_uh_dx
GAW0	M	7	s	h#_sh_iy
GAW0	M	7	s	kcl_s_ux
GAW0	M	7	s	iy_s_iy
GAW0	M	7	s	ao_sh_epi
GAW0	M	7	s	ae_s_kcl
GAW0	M	7	s	ey_sh_ix
GAW0	M	7	s	r_s_eh
GAW0	M	7	s	ao_s_l
GAW0	M	7	s	eh_s_ax-h
GAW0	M	7	s	ax-h_s_eh
GAW0	M	7	s	aa_s_eh
GAW0	M	7	s	eh_s_h#
GAW0	M	7	s	tcl_s_h#
GAW0	M	7	s	h#_s_ix
GAW0	M	7	s	kcl_s_h#
GAW0	M	7	s	ix_s_ao
GAW0	M	7	s	pau_s_ow
GAW0	M	7	s	n_s_tcl
GAW0	M	7	s	ih_s_l
GAW0	M	7	s	h#_s_ix
GAW0	M	7	f	z_f_ao
GAW0	M	7	f	n_f_ih
GAW0	M	7	f	l_f_ix
