ID	Sex	DR	Phone	Context
SAH1	M	7	iy	r_iy_s
SAH1	M	7	iy	r_iy_s
SAH1	M	7	iy	r_iy_s
SAH1	M	7	iy	r_iy_s
SAH1	M	7	iy	r_iy_s
SAH1	M	7	iy	s_iy_w
SAH1	M	7	iy	s_iy_w
SAH1	M	7	iy	s_iy_w
SAH1	M	7	iy	s_iy_w
SAH1	M	7	iy	s_iy_w
SAH1	M	7	iy	s_iy_w
SAH1	M	7	iy	l_iy_r
SAH1	M	7	iy	l_iy_r
SAH1	M	7	iy	l_iy_r
SAH1	M	7	iy	l_iy_r
SAH1	M	7	iy	l_iy_r
SAH1	M	7	iy	l_iy_r
SAH1	M	7	iy	l_iy_r
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	t_iy_z
SAH1	M	7	iy	m_iy_ix
SAH1	M	7	iy	m_iy_ix
SAH1	M	7	iy	m_iy_ix
SAH1	M	7	iy	m_iy_ix
SAH1	M	7	iy	m_iy_ix
SAH1	M	7	iy	m_iy_ix
SAH1	M	7	iy	m_iy_ix
SAH1	M	7	iy	d_iy_pcl
SAH1	M	7	iy	d_iy_pcl
SAH1	M	7	iy	d_iy_pcl
SAH1	M	7	iy	d_iy_pcl
SAH1	M	7	iy	d_iy_pcl
SAH1	M	7	iy	d_iy_pcl
SAH1	M	7	iy	d_iy_pcl
SAH1	M	7	iy	hh_iy_dcl
SAH1	M	7	iy	hh_iy_dcl
SAH1	M	7	iy	hh_iy_dcl
SAH1	M	7	iy	hh_iy_dcl
SAH1	M	7	iy	hh_iy_dcl
SAH1	M	7	iy	v_iy_h#
SAH1	M	7	iy	v_iy_h#
SAH1	M	7	iy	v_iy_h#
SAH1	M	7	iy	v_iy_h#
SAH1	M	7	iy	v_iy_h#
SAH1	M	7	iy	n_iy_tcl
SAH1	M	7	iy	n_iy_tcl
SAH1	M	7	iy	n_iy_tcl
SAH1	M	7	iy	n_iy_tcl
SAH1	M	7	iy	n_iy_tcl
SAH1	M	7	iy	n_iy_tcl
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	er_iy_s
SAH1	M	7	iy	t_iy_m
SAH1	M	7	iy	t_iy_m
SAH1	M	7	iy	t_iy_m
SAH1	M	7	iy	t_iy_m
SAH1	M	7	iy	t_iy_m
SAH1	M	7	iy	t_iy_m
SAH1	M	7	aa	d_aa_r
SAH1	M	7	aa	d_aa_r
SAH1	M	7	aa	d_aa_r
SAH1	M	7	aa	d_aa_r
SAH1	M	7	aa	d_aa_r
SAH1	M	7	aa	d_aa_r
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	b_aa_dx
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	g_aa_q
SAH1	M	7	aa	w_aa_l
SAH1	M	7	aa	w_aa_l
SAH1	M	7	aa	w_aa_l
SAH1	M	7	aa	w_aa_l
SAH1	M	7	aa	w_aa_l
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	p_aa_s
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	aa	w_aa_tcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	t_uh_dcl
SAH1	M	7	uh	f_uh_tcl
SAH1	M	7	uh	f_uh_tcl
SAH1	M	7	uh	f_uh_tcl
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	h#_sh_ix
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	k_s_ux
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
SAH1	M	7	s	iy_s_iy
