ID	Sex	DR	Phone	Context
CHH0	M	7	iy	sh_iy_hv
CHH0	M	7	iy	sh_iy_hv
CHH0	M	7	iy	sh_iy_hv
CHH0	M	7	iy	sh_iy_hv
CHH0	M	7	iy	sh_iy_hv
CHH0	M	7	iy	sh_iy_hv
CHH0	M	7	iy	r_iy_s
CHH0	M	7	iy	r_iy_s
CHH0	M	7	iy	r_iy_s
CHH0	M	7	iy	r_iy_s
CHH0	M	7	iy	r_iy_s
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	s_iy_w
CHH0	M	7	iy	r_iy_eh
CHH0	M	7	iy	r_iy_eh
CHH0	M	7	iy	r_iy_eh
CHH0	M	7	iy	l_iy_r
CHH0	M	7	iy	l_iy_r
CHH0	M	7	iy	l_iy_r
CHH0	M	7	iy	l_iy_r
CHH0	M	7	iy	l_iy_r
CHH0	M	7	iy	t_iy_l
CHH0	M	7	iy	t_iy_l
CHH0	M	7	iy	t_iy_l
CHH0	M	7	iy	t_iy_l
CHH0	M	7	iy	t_iy_l
CHH0	M	7	iy	sh_iy_tcl
CHH0	M	7	iy	sh_iy_tcl
CHH0	M	7	iy	sh_iy_tcl
CHH0	M	7	iy	sh_iy_tcl
CHH0	M	7	iy	sh_iy_tcl
CHH0	M	7	iy	sh_iy_tcl
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	sh_iy_s
CHH0	M	7	iy	dx_iy_ix
CHH0	M	7	iy	dx_iy_ix
CHH0	M	7	iy	dx_iy_ix
CHH0	M	7	iy	dx_iy_ix
CHH0	M	7	iy	n_iy_ah
CHH0	M	7	iy	n_iy_ah
CHH0	M	7	iy	n_iy_ah
CHH0	M	7	iy	n_iy_ah
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	l_iy_epi
CHH0	M	7	iy	hh_iy_s
CHH0	M	7	iy	hh_iy_s
CHH0	M	7	iy	hh_iy_s
CHH0	M	7	iy	hh_iy_s
CHH0	M	7	iy	hh_iy_s
CHH0	M	7	iy	hh_iy_s
CHH0	M	7	iy	hh_iy_s
CHH0	M	7	iy	r_iy_v
CHH0	M	7	iy	r_iy_v
CHH0	M	7	iy	r_iy_v
CHH0	M	7	iy	l_iy_n
CHH0	M	7	aa	d_aa_r
CHH0	M	7	aa	d_aa_r
CHH0	M	7	aa	d_aa_r
CHH0	M	7	aa	d_aa_r
CHH0	M	7	aa	d_aa_r
CHH0	M	7	aa	d_aa_r
CHH0	M	7	aa	w_aa_r
CHH0	M	7	aa	w_aa_r
CHH0	M	7	aa	w_aa_r
CHH0	M	7	aa	w_aa_dx
CHH0	M	7	aa	w_aa_dx
CHH0	M	7	aa	w_aa_dx
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	p_aa_m
CHH0	M	7	aa	ey_aa_r
CHH0	M	7	aa	ey_aa_r
CHH0	M	7	aa	ey_aa_r
CHH0	M	7	aa	ey_aa_r
CHH0	M	7	aa	ey_aa_r
CHH0	M	7	aa	ey_aa_r
CHH0	M	7	aa	ey_aa_r
CHH0	M	7	aa	n_aa_n
CHH0	M	7	aa	n_aa_n
CHH0	M	7	aa	n_aa_n
CHH0	M	7	aa	n_aa_n
CHH0	M	7	aa	n_aa_n
CHH0	M	7	aa	n_aa_n
CHH0	M	7	aa	ux_aa_r
CHH0	M	7	aa	ux_aa_r
CHH0	M	7	aa	ux_aa_r
CHH0	M	7	aa	ux_aa_r
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	aa	jh_aa_n
CHH0	M	7	uh	w_uh_dcl
CHH0	M	7	uh	w_uh_dcl
CHH0	M	7	uh	w_uh_dcl
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	h#_sh_iy
CHH0	M	7	s	k_s_ux
CHH0	M	7	s	k_s_ux
CHH0	M	7	s	k_s_ux
CHH0	M	7	s	k_s_ux
CHH0	M	7	s	k_s_ux
CHH0	M	7	s	k_s_ux
CHH0	M	7	s	k_s_ux
